GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
48155,050,48,155,99999,999,,,Foard County,1336,789,1622,850,1336,1622
48011,050,48,011,11100,999,,,Armstrong County,1901,904,2148,920,1901,2148
48025,050,48,025,13300,999,,,Bee County,31861,10649,32359,10939,31861,32359
48195,050,48,195,99999,999,,,Hansford County,5613,2338,5369,2329,5613,5369
48205,050,48,205,99999,999,,,Hartley County,6062,1946,5537,1760,6062,5537
48415,050,48,415,43660,999,,,Scurry County,16921,6963,16361,7112,16921,16361
48449,050,48,449,34420,999,,,Titus County,32334,12054,28118,10675,32334,28118
48461,050,48,461,99999,999,,,Upton County,3355,1548,3404,1609,3355,3404
48261,050,48,261,28780,204,,,Kenedy County,416,233,414,281,416,414
48343,050,48,343,99999,999,,,Morris County,12934,6024,13048,6017,12934,13048
48355,050,48,355,18580,204,,,Nueces County,340223,141033,313645,123041,340223,313645
48377,050,48,377,99999,999,,,Presidio County,7818,3825,7304,3299,7818,7304
48437,050,48,437,99999,999,,,Swisher County,7854,3221,8378,3315,7854,8378
48447,050,48,447,99999,999,,,Throckmorton County,1641,1079,1850,1066,1641,1850
48481,050,48,481,20900,999,,,Wharton County,41280,17127,41188,16606,41280,41188
48493,050,48,493,41700,999,,,Wilson County,42918,16766,32408,12110,42918,32408
48269,050,48,269,99999,999,,,King County,286,186,356,174,286,356
48333,050,48,333,99999,999,,,Mills County,4936,2846,5151,2691,4936,5151
48421,050,48,421,99999,999,,,Sherman County,3034,1252,3186,1275,3034,3186
48267,050,48,267,99999,999,,,Kimble County,4607,3371,4468,2996,4607,4468
48045,050,48,045,99999,999,,,Briscoe County,1637,953,1790,1006,1637,1790
48057,050,48,057,47020,999,,,Calhoun County,21381,11410,20647,10238,21381,20647
48111,050,48,111,99999,999,,,Dallam County,6703,2827,6222,2697,6703,6222
48307,050,48,307,99999,999,,,McCulloch County,8283,4302,8205,4184,8283,8205
48365,050,48,365,99999,999,,,Panola County,23796,10920,22756,10524,23796,22756
